Number,Structure,Abbreviation,Label_Num,,,,,,,,,,,
78,_77_Zona_Incerta,ZI_R,1077,25094,1.990815076,6.184413,8.382658,4.3543143,77,0,0,77,77,1932238
79,_78_Reticular_Nucleus_of_Thalamus,RTN_L,78,30934,2.454127424,6.0571098,9.1776104,5.0209923,78,0,0,78,78,2412852
79,_78_Reticular_Nucleus_of_Thalamus,RTN_R,1078,30934,2.454127424,6.0571098,9.1776104,5.0209923,78,0,0,78,78,2412852
80,_79_Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP_L,79,2176,0.17263145,6.1680522,7.4573655,4.7998261,79,0,0,79,79,171904
80,_79_Subbrachial_Nucleus_and_Peripeduncular_Nucleus,Sub_PP_R,1079,2176,0.17263145,6.1680522,7.4573655,4.7998261,79,0,0,79,79,171904
81,_80_Deep_Mesencephalic_Nuclei,DpMe_L,80,28428,2.255315653,6.0356183,7.3132391,5.0067368,80,0,0,80,80,2274240
81,_80_Deep_Mesencephalic_Nuclei,DpMe_R,1080,28428,2.255315653,6.0356183,7.3132391,5.0067368,80,0,0,80,80,2274240
82,_81_Superior_Colliculus,SC_L,81,131859,10.46094226,6.1210995,6.7049794,6.7857575,81,0,0,81,81,10680579
82,_81_Superior_Colliculus,SC_R,1081,131859,10.46094226,6.1210995,6.7049794,6.7857575,81,0,0,81,81,10680579
83,_82_Inferior_Colliculus,IC_L,82,74349,5.898426322,6.1463752,5.4046998,6.8184233,82,0,0,82,82,6096618
83,_82_Inferior_Colliculus,IC_R,1082,74349,5.898426322,6.1463752,5.4046998,6.8184233,82,0,0,82,82,6096618
84,_83_Substantia_Nigra,SN_L,83,17239,1.367644102,6.1382222,7.4776759,4.0477867,83,0,0,83,83,1430837
84,_83_Substantia_Nigra,SN_R,1083,17239,1.367644102,6.1382222,7.4776759,4.0477867,83,0,0,83,83,1430837
85,_84_Red_Nucleus_Parvicellular,RPC_L,84,1847,0.146530463,6.115799,7.0679445,4.7396402,84,0,0,84,84,155148
85,_84_Red_Nucleus_Parvicellular,RPC_R,1084,1847,0.146530463,6.115799,7.0679445,4.7396402,84,0,0,84,84,155148
86,_85_Midbrain_Reticular_Nucleus_,MRN_L,85,44678,3.544498126,6.0616269,6.7659225,5.1729331,85,0,0,85,85,3797630
86,_85_Midbrain_Reticular_Nucleus_,MRN_R,1085,44678,3.544498126,6.0616269,6.7659225,5.1729331,85,0,0,85,85,3797630
87,_86_Rostral_Linear_Nucleus,RI_L,86,3813,0.302501709,6.1258807,7.300827,4.3665996,86,0,0,86,86,327918
87,_86_Rostral_Linear_Nucleus,RI_R,1086,3813,0.302501709,6.1258807,7.300827,4.3665996,86,0,0,86,86,327918
88,_87_Cuneiform_Nucleus,Cn_L,87,4168,0.330665388,5.8168225,5.7331762,5.4783545,87,0,0,87,87,362616
88,_87_Cuneiform_Nucleus,Cn_R,1087,4168,0.330665388,5.8168225,5.7331762,5.4783545,87,0,0,87,87,362616
89,_88_Precuneiform_Nucleus,PrCn_L,88,6588,0.522654408,6.0730429,6.2416358,5.7937284,88,0,0,88,88,579744
89,_88_Precuneiform_Nucleus,PrCn_R,1088,6588,0.522654408,6.0730429,6.2416358,5.7937284,88,0,0,88,88,579744
90,_89_Brain_Stem_Rest,BrainStem_L,89,92375,7.328506523,6.175889,4.5928349,3.9086912,89,0,0,89,89,8221375
90,_89_Brain_Stem_Rest,BrainStem_R,1089,92375,7.328506523,6.175889,4.5928349,3.9086912,89,0,0,89,89,8221375
91,_90_Interpeduncular_Nucleus,Iped_L,90,3273,0.259661184,6.1448159,7.3018155,3.6737587,90,0,0,90,90,294570
91,_90_Interpeduncular_Nucleus,Iped_R,1090,3273,0.259661184,6.1448159,7.3018155,3.6737587,90,0,0,90,90,294570
92,_91_Cerebellar_Cortex,CC_L,91,585328,46.4365907,6.1845765,4.0177269,5.67485,91,0,0,91,91,53264848
92,_91_Cerebellar_Cortex,CC_R,1091,585328,46.4365907,6.1845765,4.0177269,5.67485,91,0,0,91,91,53264848
93,_92_Dentate_orLateral_Nucleus_of_Cerebellum,Den_L,92,5870,0.465692377,6.1129088,4.5325179,5.0852342,92,0,0,92,92,540040
93,_92_Dentate_orLateral_Nucleus_of_Cerebellum,Den_R,1092,5870,0.465692377,6.1129088,4.5325179,5.0852342,92,0,0,92,92,540040
94,_93_Interposed_Nucleus_of_Cerebellum,Int_L,93,4876,0.386834076,5.7806659,4.2821064,5.2649183,93,0,0,93,93,453468
94,_93_Interposed_Nucleus_of_Cerebellum,Int_R,1093,4876,0.386834076,5.7806659,4.2821064,5.2649183,93,0,0,93,93,453468
95,_94_Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,FasDl_L,94,1227,0.097343194,6.0644636,4.4244604,5.5357585,94,0,0,94,94,115338
95,_94_Fastigial_Medial_Dorsolateral_Nucleus_of_Cerebellum,FasDl_R,1094,1227,0.097343194,6.0644636,4.4244604,5.5357585,94,0,0,94,94,115338
96,_95_Fastigial_Medial_Nucleus_of_Cerebellum,FasMed_L,95,12305,0.976208636,6.1527004,4.1559935,5.4161997,95,0,0,95,95,1168975
96,_95_Fastigial_Medial_Nucleus_of_Cerebellum,FasMed_R,1095,12305,0.976208636,6.1527004,4.1559935,5.4161997,95,0,0,95,95,1168975
